Timestamp,ACC X,ACC Y,ACC Z
2026/05/14 10:30:47.152,0.016,-0.006,0.997
2026/05/14 10:30:47.171,0.018,-0.004,0.995
2026/05/14 10:30:47.191,0.014,0.0,0.994
2026/05/14 10:30:47.210,0.015,-0.005,0.996
2026/05/14 10:30:47.229,0.013,-0.005,0.998
2026/05/14 10:30:47.248,0.015,-0.002,0.995
2026/05/14 10:30:47.268,0.012,-0.006,0.995
2026/05/14 10:30:47.287,0.017,-0.01,0.997
2026/05/14 10:30:47.306,0.019,-0.001,0.996
2026/05/14 10:30:47.325,0.019,0.002,0.999
2026/05/14 10:30:47.345,0.019,0.0,0.998
2026/05/14 10:30:47.364,0.017,-0.001,0.998
2026/05/14 10:30:47.383,0.017,-0.003,0.994
2026/05/14 10:30:47.402,0.019,-0.002,0.994
2026/05/14 10:30:47.421,0.014,-0.001,0.998
2026/05/14 10:30:47.441,0.013,-0.002,0.996
2026/05/14 10:30:47.460,0.012,-0.005,0.999
2026/05/14 10:30:47.479,0.016,-0.004,1.0
2026/05/14 10:30:47.498,0.015,-0.007,1.002
2026/05/14 10:30:47.518,0.017,-0.003,0.998
2026/05/14 10:30:47.537,0.018,-0.002,0.999
2026/05/14 10:30:47.556,0.016,-0.003,1.001
2026/05/14 10:30:47.575,0.02,-0.003,1.001
2026/05/14 10:30:47.595,0.017,0.001,1.0
2026/05/14 10:30:47.614,0.015,0.002,0.998
2026/05/14 10:30:47.633,0.018,-0.004,0.998
2026/05/14 10:30:47.652,0.014,0.003,1.0
2026/05/14 10:30:47.671,0.014,-0.003,0.997
2026/05/14 10:30:47.691,0.018,-0.001,0.994
2026/05/14 10:30:47.710,0.015,-0.003,0.998
2026/05/14 10:30:47.729,0.014,-0.005,0.998
2026/05/14 10:30:47.748,0.015,-0.003,0.999
2026/05/14 10:30:47.768,0.016,-0.005,1.001
2026/05/14 10:30:47.787,0.016,-0.005,1.0
2026/05/14 10:30:47.806,0.014,-0.003,0.999
2026/05/14 10:30:47.825,0.016,-0.003,1.001
2026/05/14 10:30:47.845,0.019,-0.004,0.995
2026/05/14 10:30:47.864,0.012,-0.004,1.002
2026/05/14 10:30:47.883,0.012,-0.002,0.998
2026/05/14 10:30:47.902,0.015,-0.005,0.999
2026/05/14 10:30:47.921,0.015,-0.005,1.0
2026/05/14 10:30:47.941,0.016,-0.005,0.998
2026/05/14 10:30:47.960,0.017,-0.003,0.999
2026/05/14 10:30:47.979,0.017,-0.004,0.997
2026/05/14 10:30:47.998,0.013,-0.008,1.001
2026/05/14 10:30:48.018,0.012,-0.005,0.996
2026/05/14 10:30:48.037,0.018,-0.001,0.998
2026/05/14 10:30:48.056,0.018,-0.006,0.999
2026/05/14 10:30:48.075,0.014,-0.008,1.0
2026/05/14 10:30:48.095,0.013,-0.002,0.996
2026/05/14 10:30:48.114,0.013,-0.003,1.0
2026/05/14 10:30:48.133,0.014,-0.002,0.999
2026/05/14 10:30:48.152,0.015,-0.002,1.001
2026/05/14 10:30:48.171,0.016,-0.004,0.998
2026/05/14 10:30:48.191,0.013,-0.004,0.999
2026/05/14 10:30:48.210,0.013,-0.006,0.996
2026/05/14 10:30:48.229,0.015,-0.004,1.0
2026/05/14 10:30:48.248,0.013,-0.006,0.998
2026/05/14 10:30:48.268,0.013,-0.006,0.997
2026/05/14 10:30:48.287,0.014,-0.007,0.999
2026/05/14 10:30:48.306,0.013,-0.001,0.997
2026/05/14 10:30:48.325,0.014,-0.001,1.001
2026/05/14 10:30:48.345,0.015,-0.001,0.996
2026/05/14 10:30:48.364,0.016,-0.001,0.999
2026/05/14 10:30:48.383,0.014,-0.007,1.0
2026/05/14 10:30:48.402,0.017,-0.004,0.998
2026/05/14 10:30:48.421,0.018,-0.006,0.999
2026/05/14 10:30:48.441,0.015,-0.004,0.999
2026/05/14 10:30:48.460,0.014,-0.004,0.997
2026/05/14 10:30:48.479,0.016,-0.005,1.003
2026/05/14 10:30:48.498,0.017,-0.004,0.998
2026/05/14 10:30:48.518,0.013,-0.007,0.997
2026/05/14 10:30:48.537,0.014,-0.003,0.998
